"NZAu_maj","name","type","bin_number","cf_wLL_2020_nzau","cf_wLL_2020_rerun","tx_cost_per_kw_2021_nzau","tx_cost_per_kw_2021_rerun","capex_per_kw_2021_nzau","capex_per_kw_2021_rerun","NZAu_GW","Case1_GW","Case2_GW","Case3_GW","2025","2030","2035","2040","2045","2050","2055","2060","type_b","EP2060","CASE1","CASE2","CASE3"
"wa-central","onshore wind|2","onshore",2,0.314,0.314,0,593,2023.187,2023.187,0.64,0.243,0.64,2.578,0,0,0,0,0,0,0,0,"ON [2]","0 (0.314, 0)","0.2 (0.314, 593)","0.6 (0.314, 593)","3 (0.314, 593)"
"wa-central","onshore wind|3","onshore",3,0.301,0.301,149,175,2023.187,2023.187,14.871,14.871,14.871,14.871,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,"ON [3]","0 (0.301, 149)","15 (0.301, 175)","15 (0.301, 175)","15 (0.301, 175)"
"wa-central","onshore wind|4","onshore",4,0.268,0.271,490,485,2023.187,2023.187,4.19,4.19,4.19,4.19,0,0,0,0,0,0,0,0,"ON [4]","0 (0.268, 490)","4 (0.271, 485)","4 (0.271, 485)","4 (0.271, 485)"
"wa-central","onshore wind|5","onshore",5,0.261,0.263,543,550,2023.187,2023.187,3.841,3.841,3.841,3.841,0,0,0,0,0,0,0,0,"ON [5]","0 (0.261, 543)","4 (0.263, 550)","4 (0.263, 550)","4 (0.263, 550)"
"vic-west","large-scale solar pv|2","solar",2,0.232,0.232,150,152,1560.685,1560.685,0.254,0.254,0.254,0.572,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,"PV [2]","0.3 (0.232, 150)","0.3 (0.232, 152)","0.3 (0.232, 152)","0.6 (0.232, 152)"
"vic-west","large-scale solar pv|3","solar",3,0.23,0.219,374,351,1560.685,1560.685,18.452,13.055,17.26,109.132,0.48,3.33,6.18,9.02,12.97,16.92,20.06,20.06,"PV [3]","20 (0.23, 374)","13 (0.219, 351)","17 (0.219, 351)","109 (0.219, 351)"
"vic-west","large-scale solar pv|4","solar",4,0.181,0.182,247,270,1560.685,1560.685,92.056,89.52,91.948,203.091,0,0,0.01,0.01,0.01,0.01,0.02,0.02,"PV [4]","0 (0.181, 247)","90 (0.182, 270)","92 (0.182, 270)","203 (0.182, 270)"
"vic-west","offshore wind|1","offshore",1,0.643,0.625,1004,943,3422.977,3593.946,18.797,18.797,18.797,18.898,0,0.23,1.53,2.83,2.83,2.83,2.83,2.64,"OFF [1]","3 (0.643, 1004)","19 (0.625, 943)","19 (0.625, 943)","19 (0.625, 943)"
"vic-west","offshore wind|2","offshore",2,0.609,0.639,1483,1068,3727.422,3309.992,35.966,35.966,35.966,35.966,0,0,0,0,0,0,0,0,"OFF [2]","0 (0.609, 1483)","36 (0.639, 1068)","36 (0.639, 1068)","36 (0.639, 1068)"
"vic-west","offshore wind|3","offshore",3,0.487,0.458,958,952,3017.046,2897.848,7.362,7.362,7.362,8.339,0,0,0,0,0,0,0,0,"OFF [3]","0 (0.487, 958)","7 (0.458, 952)","7 (0.458, 952)","8 (0.458, 952)"
"vic-west","offshore wind|4","offshore",4,0.47,0.55,1529,1349,2938.708,3057.843,0.999,0.999,0.999,1.15,0,0,0,0,0,0,0,0,"OFF [4]","0 (0.47, 1529)","1 (0.55, 1349)","1 (0.55, 1349)","1 (0.55, 1349)"
"vic-west","offshore wind|5","offshore",5,0.467,0.467,0,1287,0,2939.991,1.402,1.402,1.402,1.231,0,0,0,0,0,0,0,0,"OFF [5]","0 (0.467, 0)","1 (0.467, 1287)","1 (0.467, 1287)","1 (0.467, 1287)"
"vic-west","onshore wind|1","onshore",1,0.318,0.322,370,399,2023.187,2023.187,31.966,17.27,30.814,59.511,3.14,6.29,19.71,30.59,30.59,30.59,27.45,24.31,"ON [1]","24 (0.318, 370)","17 (0.322, 399)","31 (0.322, 399)","60 (0.322, 399)"
"vic-west","onshore wind|2","onshore",2,0.305,0.307,598,615,2023.187,2023.187,30.079,17.333,26.982,44.153,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.02,"ON [2]","0 (0.305, 598)","17 (0.307, 615)","27 (0.307, 615)","44 (0.307, 615)"
