"NZAu_maj","name","type","bin_number","cf_wLL_2020_nzau","cf_wLL_2020_rerun","tx_cost_per_kw_2021_nzau","tx_cost_per_kw_2021_rerun","capex_per_kw_2021_nzau","capex_per_kw_2021_rerun","NZAu_GW","Case1_GW","Case2_GW","Case3_GW","2025","2030","2035","2040","2045","2050","2055","2060","type_b","EP2060","CASE1","CASE2","CASE3"
"nt","offshore wind|5","offshore",5,0.403,0.423,1315,1476,3002.288,2995.444,403.796,403.796,403.796,403.796,0,3e-04,4e-04,8e-04,0.001,0.0013,0.0013,0.0011,"OFF[5]","0 (0.403, 1315)","404 (0.423, 1476)","404 (0.423, 1476)","404 (0.423, 1476)"
"nt","onshore wind|2","onshore",2,0.296,0.296,609,653,2023.187,2023.187,0.597,0,0,1.136,0.0012,0.0028,0.5955,0.597,0.597,0.597,0.5958,0.5942,"ON [2]","0.6 (0.296, 609)","0 (0.296, 653)","0 (0.296, 653)","1 (0.296, 653)"
"nt","onshore wind|3","onshore",3,0.298,0.279,94,166,2023.187,2023.187,1.735,0.321,1.735,1.735,0.0025,0.5139,0.778,0.778,0.778,0.778,0.778,0.2687,"ON [3]","0.3 (0.298, 94)","0.3 (0.279, 166)","2 (0.279, 166)","2 (0.279, 166)"
"nt","onshore wind|4","onshore",4,0.264,0.263,435,443,2023.187,2023.187,78.953,7.571,74.318,79.626,7e-04,0.0015,0.0017,0.8534,0.8535,0.8535,0.8528,0.8519,"ON [4]","0.9 (0.264, 435)","8 (0.263, 443)","74 (0.263, 443)","80 (0.263, 443)"
"nt","onshore wind|5","onshore",5,0.268,0.267,668,671,2023.187,2023.187,158.482,20.84,157.595,160.951,6e-04,0.0013,0.0014,0.0053,0.0053,0.0054,0.0048,0.0042,"ON [5]","0 (0.268, 668)","21 (0.267, 671)","158 (0.267, 671)","161 (0.267, 671)"
"nsw-south","large-scale solar pv|2","solar",2,0.219,0.219,0,110,1560.685,1560.685,1.111,0.618,0.618,1.504,0,0,0,0,0,0,0,0,"PV [2]","0 (0.219, 0)","0.6 (0.219, 110)","0.6 (0.219, 110)","2 (0.219, 110)"
"nsw-south","large-scale solar pv|3","solar",3,0.222,0.218,328,262,1560.685,1560.685,137.255,58.896,81.038,351.141,3e-04,0.002,0.0046,0.0077,0.0077,0.0078,0.0077,0.0073,"PV [3]","0 (0.222, 328)","59 (0.218, 262)","81 (0.218, 262)","351 (0.218, 262)"
"nsw-south","large-scale solar pv|4","solar",4,0.214,0.203,205,248,1560.685,1560.685,26.312,9.169,26.293,60.703,5e-04,3.4079,3.4097,3.4111,3.4216,3.4322,3.4423,3.5721,"PV [4]","4 (0.214, 205)","9 (0.203, 248)","26 (0.203, 248)","61 (0.203, 248)"
"nsw-south","offshore wind|1","offshore",1,0.602,0.602,1024,1024,4073.231,4073.231,8.249,8.249,8.249,8.249,0,5e-04,0.0012,4.7571,4.7948,4.8337,4.8724,4.9107,"OFF[1]","5 (0.602, 1024)","8 (0.602, 1024)","8 (0.602, 1024)","8 (0.602, 1024)"
"nsw-south","offshore wind|2","offshore",2,0.586,0.598,1538,1313,3852.475,3934.737,1.978,1.978,1.978,1.978,0,5e-04,0.001,0.0016,0.0029,0.0033,0.0039,0.0039,"OFF[2]","0 (0.586, 1538)","2 (0.598, 1313)","2 (0.598, 1313)","2 (0.598, 1313)"
"nsw-south","offshore wind|3","offshore",3,0.493,0.472,918,925,3314.174,3297.26,13.333,13.333,13.333,13.333,0,4e-04,7e-04,7e-04,0.0011,0.0014,0.0016,0.0015,"OFF[3]","0 (0.493, 918)","13 (0.472, 925)","13 (0.472, 925)","13 (0.472, 925)"
"nsw-south","offshore wind|4","offshore",4,0.493,0.543,1616,1469,3370.588,3659.306,1.252,1.252,1.252,1.252,0,3e-04,5e-04,5e-04,8e-04,9e-04,0.0011,9e-04,"OFF[4]","0 (0.493, 1616)","1 (0.543, 1469)","1 (0.543, 1469)","1 (0.543, 1469)"
"nsw-south","offshore wind|5","offshore",5,0.402,0.422,1038,1409,3216.499,2939.449,0.629,0.629,0.629,0.629,0,2e-04,3e-04,4e-04,5e-04,6e-04,6e-04,5e-04,"OFF[5]","0 (0.402, 1038)","0.6 (0.422, 1409)","0.6 (0.422, 1409)","0.6 (0.422, 1409)"
"nsw-south","onshore wind|1","onshore",1,0.324,0.328,266,290,2023.187,2023.187,8.253,6.909,8.881,12.946,0.0059,0.0094,0.0094,0.0094,0.0094,0.0094,0.0036,0.001,"ON [1]","0 (0.324, 266)","7 (0.328, 290)","9 (0.328, 290)","13 (0.328, 290)"
"nsw-south","onshore wind|2","onshore",2,0.298,0.298,673,662,2023.187,2023.187,16.417,4.752,15.805,17.218,0.003,0.0042,0.0059,0.0059,0.0059,0.0059,0.0029,0.0018,"ON [2]","0 (0.298, 673)","5 (0.298, 662)","16 (0.298, 662)","17 (0.298, 662)"
"nsw-south","onshore wind|3","onshore",3,0.285,0.287,195,225,2023.187,2023.187,15.576,3.374,7.296,23.939,0.6416,1.2873,3.6728,3.6728,3.6728,3.6728,3.0311,2.3855,"ON [3]","2 (0.285, 195)","3 (0.287, 225)","7 (0.287, 225)","24 (0.287, 225)"
"nsw-south","onshore wind|4","onshore",4,0.275,0.277,398,429,2023.187,2023.187,63.039,7.423,45.998,69.849,5e-04,0.0011,0.0011,0.0013,0.0013,0.0014,0.0011,7e-04,"ON [4]","0 (0.275, 398)","7 (0.277, 429)","46 (0.277, 429)","70 (0.277, 429)"
"nsw-south","onshore wind|5","onshore",5,0.282,0.28,610,640,2023.187,2023.187,40.361,6.01,36.78,40.334,4e-04,0.001,0.001,0.0012,0.0012,0.0012,0.001,7e-04,"ON [5]","0 (0.282, 610)","6 (0.28, 640)","37 (0.28, 640)","40 (0.28, 640)"
"nsw-outback","large-scale solar pv|1","solar",1,0.259,0.257,324,332,1560.685,1560.685,111.863,99.735,112.192,123.615,0,0.0022,0.0058,0.0116,0.0117,0.0118,0.0119,0.0104,"PV [1]","0 (0.259, 324)","100 (0.257, 332)","112 (0.257, 332)","124 (0.257, 332)"
"nsw-outback","large-scale solar pv|2","solar",2,0.252,0.252,191,198,1560.685,1560.685,394.957,335.744,363.759,394.999,0,0.4548,0.9081,1.3591,1.8165,2.2737,2.731,4.3293,"PV [2]","4 (0.252, 191)","336 (0.252, 198)","364 (0.252, 198)","395 (0.252, 198)"
"nsw-outback","large-scale solar pv|3","solar",3,0.243,0.24,312,316,1560.685,1560.685,211.689,137.309,169.436,229.295,0,0.001,0.002,0.0031,0.0035,0.0039,0.0043,0.0036,"PV [3]","0 (0.243, 312)","137 (0.24, 316)","169 (0.24, 316)","229 (0.24, 316)"
"nsw-outback","onshore wind|1","onshore",1,0.301,0.302,361,388,2023.187,2023.187,34.628,13.791,22.73,37.083,4e-04,0.001,0.0019,0.0019,0.0019,0.0019,0.0015,8e-04,"ON [1]","0 (0.301, 361)","14 (0.302, 388)","23 (0.302, 388)","37 (0.302, 388)"
"nsw-outback","onshore wind|2","onshore",2,0.299,0.299,577,605,2023.187,2023.187,64.646,36.14,63.721,66.028,4e-04,0.001,0.0029,0.003,0.003,0.003,0.0025,0.0019,"ON [2]","0 (0.299, 577)","36 (0.299, 605)","64 (0.299, 605)","66 (0.299, 605)"
"nsw-outback","onshore wind|3","onshore",3,0.293,0.293,204,212,2023.187,2023.187,145.397,115.995,134.223,148.119,5e-04,0.0016,1.2791,1.2791,1.2791,1.2791,1.2785,1.2775,"ON [3]","1 (0.293, 204)","116 (0.293, 212)","134 (0.293, 212)","148 (0.293, 212)"
"nsw-outback","onshore wind|4","onshore",4,0.287,0.289,358,391,2023.187,2023.187,36.249,32.351,34.723,36.092,3e-04,9e-04,0.0024,0.0024,0.0024,0.0024,0.0021,0.0015,"ON [4]","0 (0.287, 358)","32 (0.289, 391)","35 (0.289, 391)","36 (0.289, 391)"
"nsw-outback","onshore wind|5","onshore",5,0.287,0.287,665,665,2023.187,2023.187,52.67,23.258,52.67,53.009,3e-04,7e-04,0.0014,0.0014,0.0014,0.0015,0.0012,8e-04,"ON [5]","0 (0.287, 665)","23 (0.287, 665)","53 (0.287, 665)","53 (0.287, 665)"
"nsw-north","large-scale solar pv|1","solar",1,0.249,0.249,0,386,1560.685,1560.685,0,0,0,0.73,0,0,0,0,0,0,0,0,"PV [1]","0 (0.249, 0)","0 (0.249, 386)","0 (0.249, 386)","0.7 (0.249, 386)"
"nsw-north","large-scale solar pv|2","solar",2,0.24,0.244,158,181,1560.685,1560.685,0.517,0.517,0.517,0.242,0.1929,0.3364,0.3376,0.339,0.339,0.339,0.339,0.339,"PV [2]","0.3 (0.24, 158)","0.5 (0.244, 181)","0.5 (0.244, 181)","0.2 (0.244, 181)"
"nsw-north","large-scale solar pv|3","solar",3,0.232,0.229,319,299,1560.685,1560.685,143.461,109.574,132.682,213.816,5e-04,0.9967,1.452,1.9072,1.9073,1.9073,1.9069,1.0152,"PV [3]","1 (0.232, 319)","110 (0.229, 299)","133 (0.229, 299)","214 (0.229, 299)"
"nsw-north","large-scale solar pv|4","solar",4,0.223,0.206,204,268,1560.685,1560.685,0.245,0.011,0.245,0.311,3e-04,0.0884,0.0905,0.0923,0.7927,2.8454,4.7048,6.6884,"PV [4]","7 (0.223, 204)","0 (0.206, 268)","0.2 (0.206, 268)","0.3 (0.206, 268)"
"nsw-north","offshore wind|3","offshore",3,0.443,0.404,917,801,4262.453,3544.157,2.746,2.746,2.746,2.746,0,2e-04,3e-04,6e-04,6e-04,6e-04,6e-04,5e-04,"OFF[3]","0 (0.443, 917)","3 (0.404, 801)","3 (0.404, 801)","3 (0.404, 801)"
"nsw-north","onshore wind|1","onshore",1,0.313,0.315,332,368,2023.187,2023.187,15.633,12.548,15.582,18.143,0.0015,0.7209,7.4966,7.4966,7.4966,7.4966,7.4951,6.7757,"ON [1]","7 (0.313, 332)","13 (0.315, 368)","16 (0.315, 368)","18 (0.315, 368)"
"nsw-north","onshore wind|2","onshore",2,0.325,0.312,592,677,2023.187,2023.187,1.946,1.212,1.819,2.636,0.8975,1.0739,1.074,1.074,1.074,1.074,0.1765,0.0014,"ON [2]","0 (0.325, 592)","1 (0.312, 677)","2 (0.312, 677)","3 (0.312, 677)"
"nsw-north","onshore wind|3","onshore",3,0.294,0.293,218,238,2023.187,2023.187,4.149,3.007,3.841,4.961,0.0016,0.0064,0.0064,0.0073,0.0073,0.0073,0.0057,0.0014,"ON [3]","0 (0.294, 218)","3 (0.293, 238)","4 (0.293, 238)","5 (0.293, 238)"
"nsw-north","onshore wind|4","onshore",4,0.267,0.27,419,436,2023.187,2023.187,23.92,10.394,21.63,31.429,4e-04,8e-04,8e-04,0.001,0.0011,0.0012,9e-04,7e-04,"ON [4]","0 (0.267, 419)","10 (0.27, 436)","22 (0.27, 436)","31 (0.27, 436)"
"nsw-north","onshore wind|5","onshore",5,0.273,0.274,679,659,2023.187,2023.187,23.553,7.254,23.323,39.506,3e-04,7e-04,7e-04,9e-04,0.001,0.001,8e-04,7e-04,"ON [5]","0 (0.273, 679)","7 (0.274, 659)","23 (0.274, 659)","40 (0.274, 659)"
"nsw-central","large-scale solar pv|2","solar",2,0.233,0.232,146,140,1560.685,1560.685,1.281,0.522,1.078,0.305,1.0266,1.0266,1.0272,1.028,1.028,1.028,1.028,1.028,"PV [2]","1 (0.233, 146)","0.5 (0.232, 140)","1 (0.232, 140)","0.3 (0.232, 140)"
"nsw-central","large-scale solar pv|3","solar",3,0.225,0.223,321,302,1560.685,1560.685,155.57,106.356,140.829,193.175,4.8153,4.8154,4.8247,4.9422,4.9422,4.9423,0.1269,0.127,"PV [3]","0.1 (0.225, 321)","106 (0.223, 302)","141 (0.223, 302)","193 (0.223, 302)"
"nsw-central","large-scale solar pv|4","solar",4,0.217,0.205,240,271,1560.685,1560.685,3.08,2.235,3.08,6.631,4e-04,12.0118,12.0149,12.0173,18.0479,25.4241,35.6964,39.4135,"PV [4]","39 (0.217, 240)","2 (0.205, 271)","3 (0.205, 271)","7 (0.205, 271)"
"nsw-central","offshore wind|3","offshore",3,0.415,0.415,0,823,0,4018.201,1.314,1.314,1.314,1.314,0,0,0,0,0,0,0,0,"OFF[3]","0 (0.415, 0)","1 (0.415, 823)","1 (0.415, 823)","1 (0.415, 823)"
"nsw-central","onshore wind|1","onshore",1,0.309,0.311,358,379,2023.187,2023.187,0.5839,0.5839,0.5839,0.5839,0.5789,0.5828,0.5828,0.5828,0.5829,0.5839,0.0058,0.0019,"ON [1]","0 (0.309, 358)","0.6 (0.311, 379)","0.6 (0.311, 379)","0.6 (0.311, 379)"
"nsw-central","onshore wind|2","onshore",2,0.304,0.306,585,612,2023.187,2023.187,10.831,7.102,10.595,10.47,1.8716,4.4896,13.7449,13.7449,13.7449,13.7449,11.8733,9.2553,"ON [2]","9 (0.304, 585)","7 (0.306, 612)","11 (0.306, 612)","10 (0.306, 612)"
"nsw-central","onshore wind|3","onshore",3,0.285,0.287,257,269,2023.187,2023.187,5.12,2.412,4.527,5.882,0.0037,0.9498,0.9499,5.6577,5.6587,5.6588,5.6551,4.709,"ON [3]","5 (0.285, 257)","2 (0.287, 269)","5 (0.287, 269)","6 (0.287, 269)"
"nsw-central","onshore wind|4","onshore",4,0.276,0.277,381,396,2023.187,2023.187,24.459,14.609,22.827,26.168,6e-04,0.0012,0.0012,0.0013,0.0014,0.0016,0.0013,9e-04,"ON [4]","0 (0.276, 381)","15 (0.277, 396)","23 (0.277, 396)","26 (0.277, 396)"
"nsw-central","onshore wind|5","onshore",5,0.28,0.279,682,689,2023.187,2023.187,29.735,7.723,29.554,37.936,5e-04,0.001,0.001,0.0011,0.0012,0.0013,0.001,7e-04,"ON [5]","0 (0.28, 682)","8 (0.279, 689)","30 (0.279, 689)","38 (0.279, 689)"
"ex-wa","large-scale solar pv|5","solar",5,0.274,0.274,129,127,1560.685,1560.685,911.042,629.177,911.042,911.042,0,0.0099,50.9089,160.521,373.0996,634.8566,789.6686,925.919,"PV [5]","926 (0.274, 129)","629 (0.274, 127)","911 (0.274, 127)","911 (0.274, 127)"
"ex-wa","large-scale solar pv|6","solar",6,0.273,0.273,237,236,1560.685,1560.685,1101.244,805.545,1098.874,1105.002,0,0.0011,0.0038,0.0056,0.007,0.0072,0.0097,0.0145,"PV [6]","0 (0.273, 237)","806 (0.273, 236)","1099 (0.273, 236)","1105 (0.273, 236)"
"ex-wa","large-scale solar pv|7","solar",7,0.267,0.268,333,336,1560.685,1560.685,313.213,284.427,314.126,315.533,0,7e-04,0.0016,0.0024,0.0031,0.0035,0.0039,0.0038,"PV [7]","0 (0.267, 333)","284 (0.268, 336)","314 (0.268, 336)","316 (0.268, 336)"
"ex-wa","offshore wind|1","offshore",1,0.621,0.621,685,680,3792.03,3763.43,228.574,228.551,228.574,241.355,0,2e-04,5e-04,0.0011,0.0011,0.0011,0.0011,9e-04,"OFF[1]","0 (0.621, 685)","229 (0.621, 680)","229 (0.621, 680)","241 (0.621, 680)"
